"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-10T13:15:40.000+01:00","32","0.126","17","27"
"2023-03-10T13:15:50.000+01:00","16","0.062","8","14"
"2023-03-10T13:16:00.000+01:00","34","0.136","17","30"
"2023-03-10T13:16:10.000+01:00","33","0.13","17","28"
"2023-03-10T13:16:20.000+01:00","33","0.129","17","28"
"2023-03-10T13:16:30.000+01:00","33","0.132","17","29"
"2023-03-10T13:16:40.000+01:00","33","0.129","17","28"
"2023-03-10T13:16:50.000+01:00","33","0.13","17","28"
"2023-03-10T13:17:00.000+01:00","33","0.13","16","28"
"2023-03-10T13:17:10.000+01:00","32","0.129","16","28"
"2023-03-10T13:17:20.000+01:00","33","0.13","16","28"
"2023-03-10T13:17:30.000+01:00","33","0.133","17","29"
"2023-03-10T13:17:40.000+01:00","33","0.131","17","28"
"2023-03-10T13:17:50.000+01:00","29","0.114","8","28"
"2023-03-10T13:18:00.000+01:00","16","0.063","8","14"
"2023-03-10T13:18:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:18:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:18:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:18:40.000+01:00","16","0.062","8","14"
"2023-03-10T13:18:50.000+01:00","16","0.062","8","14"
"2023-03-10T13:19:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:19:10.000+01:00","15","0.061","8","13"
"2023-03-10T13:19:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:19:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:19:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:19:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:20:00.000+01:00","33","0.13","17","28"
"2023-03-10T13:20:10.000+01:00","15","0.061","8","13"
"2023-03-10T13:20:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:20:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:20:40.000+01:00","16","0.062","8","13"
"2023-03-10T13:20:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:21:00.000+01:00","30","0.12","18","24"
"2023-03-10T13:21:10.000+01:00","36","0.142","17","32"
"2023-03-10T13:21:20.000+01:00","32","0.128","17","28"
"2023-03-10T13:21:30.000+01:00","32","0.128","16","28"
"2023-03-10T13:21:40.000+01:00","32","0.128","17","28"
"2023-03-10T13:21:50.000+01:00","32","0.129","19","27"
"2023-03-10T13:22:00.000+01:00","36","0.143","8","35"
"2023-03-10T13:22:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:22:20.000+01:00","16","0.062","8","14"
"2023-03-10T13:22:30.000+01:00","16","0.062","8","13"
"2023-03-10T13:22:40.000+01:00","34","0.137","17","30"
"2023-03-10T13:22:50.000+01:00","32","0.128","17","28"
"2023-03-10T13:23:00.000+01:00","33","0.129","16","28"
"2023-03-10T13:23:10.000+01:00","34","0.133","16","29"
"2023-03-10T13:23:20.000+01:00","35","0.137","16","30"
"2023-03-10T13:23:30.000+01:00","34","0.133","17","29"
"2023-03-10T13:23:40.000+01:00","36","0.141","17","31"
"2023-03-10T13:23:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:24:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:24:10.000+01:00","16","0.062","8","14"
"2023-03-10T13:24:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:24:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:24:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:24:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:25:00.000+01:00","16","0.062","8","14"
"2023-03-10T13:25:10.000+01:00","16","0.062","8","14"
"2023-03-10T13:25:20.000+01:00","16","0.062","8","14"
"2023-03-10T13:25:30.000+01:00","15","0.061","8","13"
"2023-03-10T13:25:40.000+01:00","16","0.063","8","14"
"2023-03-10T13:25:50.000+01:00","16","0.063","8","14"
"2023-03-10T13:26:00.000+01:00","32","0.127","16","28"
"2023-03-10T13:26:10.000+01:00","33","0.13","17","28"
"2023-03-10T13:26:20.000+01:00","33","0.132","17","29"
"2023-03-10T13:26:30.000+01:00","32","0.128","17","28"
"2023-03-10T13:26:40.000+01:00","33","0.132","17","29"
"2023-03-10T13:26:50.000+01:00","34","0.135","17","30"
"2023-03-10T13:27:00.000+01:00","33","0.13","17","28"
"2023-03-10T13:27:10.000+01:00","32","0.127","17","27"
"2023-03-10T13:27:20.000+01:00","32","0.127","17","27"
"2023-03-10T13:27:30.000+01:00","32","0.126","17","27"
"2023-03-10T13:27:40.000+01:00","32","0.128","17","28"
"2023-03-10T13:27:50.000+01:00","33","0.131","17","29"
"2023-03-10T13:28:00.000+01:00","32","0.128","17","28"
"2023-03-10T13:28:10.000+01:00","32","0.127","18","27"
"2023-03-10T13:28:20.000+01:00","33","0.129","17","28"
"2023-03-10T13:28:30.000+01:00","34","0.133","17","29"
"2023-03-10T13:28:40.000+01:00","33","0.131","17","28"
"2023-03-10T13:28:50.000+01:00","33","0.129","17","28"
"2023-03-10T13:29:00.000+01:00","33","0.129","17","28"
"2023-03-10T13:29:10.000+01:00","32","0.128","17","28"
"2023-03-10T13:29:20.000+01:00","33","0.129","17","28"
"2023-03-10T13:29:30.000+01:00","33","0.13","18","28"
"2023-03-10T13:29:40.000+01:00","33","0.129","17","28"
