"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-16T08:46:00.000+01:00","46","0.213","43","16"
"2023-03-16T08:46:10.000+01:00","57","0.263","37","44"
"2023-03-16T08:46:20.000+01:00","45","0.206","36","26"
"2023-03-16T08:46:30.000+01:00","43","0.201","35","26"
"2023-03-16T08:46:40.000+01:00","44","0.203","36","25"
"2023-03-16T08:46:50.000+01:00","73","0.337","65","34"
"2023-03-16T08:47:00.000+01:00","44","0.204","37","25"
"2023-03-16T08:47:10.000+01:00","43","0.199","34","27"
"2023-03-16T08:47:20.000+01:00","43","0.197","35","25"
"2023-03-16T08:47:30.000+01:00","43","0.198","34","26"
"2023-03-16T08:47:40.000+01:00","43","0.197","35","25"
"2023-03-16T08:47:50.000+01:00","43","0.197","34","26"
"2023-03-16T08:48:00.000+01:00","52","0.241","40","34"
"2023-03-16T08:48:10.000+01:00","60","0.278","40","45"
"2023-03-16T08:48:20.000+01:00","49","0.226","42","25"
"2023-03-16T08:48:30.000+01:00","61","0.281","61","0"
"2023-03-16T08:48:40.000+01:00","62","0.288","47","41"
"2023-03-16T08:48:50.000+01:00","67","0.307","53","40"
"2023-03-16T08:49:00.000+01:00","44","0.205","44","0"
"2023-03-16T08:49:10.000+01:00","58","0.268","38","44"
"2023-03-16T08:49:20.000+01:00","73","0.338","61","41"
"2023-03-16T08:49:30.000+01:00","65","0.302","63","18"
"2023-03-16T08:49:40.000+01:00","52","0.241","52","0"
"2023-03-16T08:49:50.000+01:00","66","0.304","66","0"
"2023-03-16T08:50:00.000+01:00","63","0.29","63","0"
"2023-03-16T08:50:10.000+01:00","52","0.242","52","0"
"2023-03-16T08:50:20.000+01:00","52","0.242","52","0"
"2023-03-16T08:50:30.000+01:00","45","0.207","38","25"
"2023-03-16T08:50:40.000+01:00","45","0.209","37","27"
"2023-03-16T08:50:50.000+01:00","47","0.219","40","26"
"2023-03-16T08:51:00.000+01:00","70","0.324","70","0"
"2023-03-16T08:51:10.000+01:00","53","0.245","40","34"
"2023-03-16T08:51:20.000+01:00","52","0.241","44","28"
"2023-03-16T08:51:30.000+01:00","72","0.333","48","54"
"2023-03-16T08:51:40.000+01:00","81","0.375","65","49"
"2023-03-16T08:51:50.000+01:00","59","0.273","45","39"
"2023-03-16T08:52:00.000+01:00","49","0.225","49","0"
"2023-03-16T08:52:10.000+01:00","56","0.26","56","0"
"2023-03-16T08:52:20.000+01:00","51","0.236","51","0"
"2023-03-16T08:52:30.000+01:00","72","0.332","72","0"
"2023-03-16T08:52:40.000+01:00","57","0.262","57","0"
"2023-03-16T08:52:50.000+01:00","51","0.234","40","32"
"2023-03-16T08:53:00.000+01:00","71","0.329","44","56"
"2023-03-16T08:53:10.000+01:00","63","0.293","39","51"
"2023-03-16T08:53:20.000+01:00","73","0.334","37","63"
"2023-03-16T08:53:30.000+01:00","44","0.201","34","28"
"2023-03-16T08:53:40.000+01:00","59","0.27","59","0"
"2023-03-16T08:53:50.000+01:00","53","0.245","53","0"
"2023-03-16T08:54:00.000+01:00","46","0.21","38","25"
"2023-03-16T08:54:10.000+01:00","44","0.203","37","24"
"2023-03-16T08:54:20.000+01:00","44","0.202","38","22"
"2023-03-16T08:54:30.000+01:00","51","0.234","48","17"
"2023-03-16T08:54:40.000+01:00","66","0.304","49","44"
"2023-03-16T08:54:50.000+01:00","51","0.234","40","31"
"2023-03-16T08:55:00.000+01:00","51","0.236","47","19"
"2023-03-16T08:55:10.000+01:00","65","0.301","65","0"
"2023-03-16T08:55:20.000+01:00","45","0.206","45","0"
"2023-03-16T08:55:30.000+01:00","71","0.328","63","34"
"2023-03-16T08:55:40.000+01:00","71","0.328","63","33"
"2023-03-16T08:55:50.000+01:00","44","0.203","35","26"
"2023-03-16T08:56:00.000+01:00","61","0.279","39","46"
"2023-03-16T08:56:10.000+01:00","49","0.225","38","30"
"2023-03-16T08:56:20.000+01:00","51","0.233","42","29"
"2023-03-16T08:56:30.000+01:00","52","0.241","44","28"
"2023-03-16T08:56:40.000+01:00","74","0.34","45","58"
"2023-03-16T08:56:50.000+01:00","71","0.325","37","60"
"2023-03-16T08:57:00.000+01:00","51","0.233","51","0"
"2023-03-16T08:57:10.000+01:00","50","0.231","41","29"
"2023-03-16T08:57:20.000+01:00","48","0.221","40","27"
"2023-03-16T08:57:30.000+01:00","49","0.226","43","23"
"2023-03-16T08:57:40.000+01:00","49","0.225","49","0"
"2023-03-16T08:57:50.000+01:00","50","0.233","46","22"
"2023-03-16T08:58:00.000+01:00","47","0.216","36","30"
"2023-03-16T08:58:10.000+01:00","76","0.352","55","53"
"2023-03-16T08:58:20.000+01:00","47","0.215","36","29"
"2023-03-16T08:58:30.000+01:00","47","0.216","43","18"
"2023-03-16T08:58:40.000+01:00","74","0.343","74","0"
"2023-03-16T08:58:50.000+01:00","52","0.24","41","32"
"2023-03-16T08:59:00.000+01:00","74","0.343","74","0"
"2023-03-16T08:59:10.000+01:00","52","0.24","52","0"
"2023-03-16T08:59:20.000+01:00","56","0.26","56","0"
"2023-03-16T08:59:30.000+01:00","61","0.284","59","18"
"2023-03-16T08:59:40.000+01:00","53","0.244","43","30"
"2023-03-16T08:59:50.000+01:00","67","0.309","60","30"
"2023-03-16T09:00:00.000+01:00","49","0.225","42","25"
"2023-03-16T09:00:10.000+01:00","86","0.398","66","55"
"2023-03-16T09:00:20.000+01:00","47","0.216","47","0"
"2023-03-16T09:00:30.000+01:00","57","0.264","42","38"
"2023-03-16T09:00:40.000+01:00","50","0.23","50","0"
"2023-03-16T09:00:50.000+01:00","46","0.216","46","0"
"2023-03-16T09:01:00.000+01:00","44","0.203","44","0"
"2023-03-16T09:01:10.000+01:00","55","0.254","41","36"
"2023-03-16T09:01:20.000+01:00","46","0.212","37","27"
"2023-03-16T09:01:30.000+01:00","50","0.232","40","30"
"2023-03-16T09:01:40.000+01:00","71","0.327","36","61"
"2023-03-16T09:01:50.000+01:00","44","0.206","37","25"
"2023-03-16T09:02:00.000+01:00","53","0.246","53","0"
"2023-03-16T09:02:10.000+01:00","44","0.202","38","21"
"2023-03-16T09:02:20.000+01:00","52","0.243","39","35"
"2023-03-16T09:02:30.000+01:00","60","0.28","43","42"
"2023-03-16T09:02:40.000+01:00","59","0.273","51","29"
"2023-03-16T09:02:50.000+01:00","74","0.341","62","40"
"2023-03-16T09:03:00.000+01:00","45","0.209","45","0"
"2023-03-16T09:03:10.000+01:00","67","0.31","49","45"
"2023-03-16T09:03:20.000+01:00","63","0.292","63","0"
"2023-03-16T09:03:30.000+01:00","60","0.28","38","47"
"2023-03-16T09:03:40.000+01:00","44","0.206","44","0"
"2023-03-16T09:03:50.000+01:00","56","0.257","56","0"
"2023-03-16T09:04:00.000+01:00","44","0.202","35","26"
"2023-03-16T09:04:10.000+01:00","47","0.216","36","30"
"2023-03-16T09:04:20.000+01:00","53","0.245","37","38"
"2023-03-16T09:04:30.000+01:00","74","0.342","65","34"
"2023-03-16T09:04:40.000+01:00","64","0.297","38","52"
"2023-03-16T09:04:50.000+01:00","45","0.207","37","26"
"2023-03-16T09:05:00.000+01:00","74","0.34","60","43"
"2023-03-16T09:05:10.000+01:00","79","0.366","37","70"
"2023-03-16T09:05:20.000+01:00","58","0.268","58","0"
"2023-03-16T09:05:30.000+01:00","57","0.265","57","0"
"2023-03-16T09:05:40.000+01:00","55","0.252","55","0"
"2023-03-16T09:05:50.000+01:00","56","0.26","37","42"
"2023-03-16T09:06:00.000+01:00","50","0.233","50","0"
"2023-03-16T09:06:10.000+01:00","48","0.223","37","32"
"2023-03-16T09:06:20.000+01:00","45","0.208","45","0"
"2023-03-16T09:06:30.000+01:00","47","0.217","36","30"
"2023-03-16T09:06:40.000+01:00","70","0.325","36","61"
"2023-03-16T09:06:50.000+01:00","44","0.206","36","27"
"2023-03-16T09:07:00.000+01:00","69","0.322","65","23"
"2023-03-16T09:07:10.000+01:00","58","0.267","41","41"
"2023-03-16T09:07:20.000+01:00","50","0.231","38","32"
"2023-03-16T09:07:30.000+01:00","46","0.213","39","25"
"2023-03-16T09:07:40.000+01:00","57","0.263","51","25"
"2023-03-16T09:07:50.000+01:00","45","0.207","41","17"
"2023-03-16T09:08:00.000+01:00","50","0.231","50","0"
"2023-03-16T09:08:10.000+01:00","55","0.256","47","29"
"2023-03-16T09:08:20.000+01:00","78","0.36","78","0"
"2023-03-16T09:08:30.000+01:00","81","0.375","55","60"
"2023-03-16T09:08:40.000+01:00","45","0.209","45","0"
"2023-03-16T09:08:50.000+01:00","43","0.201","37","23"
"2023-03-16T09:09:00.000+01:00","44","0.204","36","26"
"2023-03-16T09:09:10.000+01:00","44","0.202","35","26"
"2023-03-16T09:09:20.000+01:00","44","0.204","37","25"
"2023-03-16T09:09:30.000+01:00","55","0.256","38","40"
"2023-03-16T09:09:40.000+01:00","58","0.27","36","46"
"2023-03-16T09:09:50.000+01:00","48","0.22","48","0"
"2023-03-16T09:10:00.000+01:00","75","0.348","47","59"
"2023-03-16T09:10:10.000+01:00","62","0.287","48","40"
