"time","ApparentPower","Current","Power","ReactivePower","Voltage"
"2023-02-16T11:22:10.000+01:00","30","0.136","24","18","220"
"2023-02-16T11:22:20.000+01:00","30","0.136","23","19","220"
"2023-02-16T11:22:30.000+01:00","30","0.135","24","18","220"
"2023-02-16T11:22:40.000+01:00","33","0.15","26","21","221"
"2023-02-16T11:22:50.000+01:00","34","0.156","25","24","220"
"2023-02-16T11:23:00.000+01:00","30","0.135","25","16","220"
"2023-02-16T11:23:10.000+01:00","32","0.144","26","18","220"
"2023-02-16T11:23:20.000+01:00","31","0.142","26","17","221"
"2023-02-16T11:23:30.000+01:00","28","0.128","23","17","220"
"2023-02-16T11:23:40.000+01:00","30","0.134","23","19","220"
"2023-02-16T11:23:50.000+01:00","28","0.129","22","18","221"
"2023-02-16T11:24:00.000+01:00","27","0.124","23","15","221"
"2023-02-16T11:24:10.000+01:00","42","0.19","22","36","221"
"2023-02-16T11:24:20.000+01:00","27","0.124","21","18","221"
"2023-02-16T11:24:30.000+01:00","28","0.126","21","19","221"
"2023-02-16T11:24:40.000+01:00","29","0.13","23","17","221"
"2023-02-16T11:24:50.000+01:00","27","0.123","21","17","220"
"2023-02-16T11:25:00.000+01:00","27","0.122","22","15","221"
"2023-02-16T11:25:10.000+01:00","28","0.125","23","15","221"
"2023-02-16T11:25:20.000+01:00","28","0.126","22","17","220"
"2023-02-16T11:25:30.000+01:00","30","0.134","22","20","220"
"2023-02-16T11:25:40.000+01:00","58","0.263","58","0","220"
"2023-02-16T11:25:50.000+01:00","79","0.359","34","71","220"
"2023-02-17T09:04:40.000+01:00","37","0.171","37","7","218"
"2023-02-17T09:04:50.000+01:00","36","0.165","27","23","217"
"2023-02-17T09:05:00.000+01:00","45","0.206","28","35","217"
"2023-02-17T09:05:10.000+01:00","38","0.177","30","25","217"
"2023-02-17T09:05:20.000+01:00","39","0.181","29","27","217"
"2023-02-17T09:05:30.000+01:00","36","0.167","36","0","217"
"2023-02-17T09:05:40.000+01:00","39","0.181","38","10","217"
"2023-02-17T09:05:50.000+01:00","34","0.155","28","18","217"
"2023-02-17T09:06:00.000+01:00","34","0.157","34","0","217"
"2023-02-17T09:06:10.000+01:00","34","0.158","27","21","217"
"2023-02-17T09:06:20.000+01:00","37","0.169","37","0","217"
"2023-02-17T09:06:30.000+01:00","34","0.156","34","0","217"
"2023-02-17T09:06:40.000+01:00","43","0.199","43","0","217"
"2023-02-17T09:06:50.000+01:00","35","0.16","33","11","217"
"2023-02-17T09:07:00.000+01:00","33","0.154","30","15","217"
"2023-02-17T09:07:10.000+01:00","34","0.155","34","0","217"
"2023-02-17T09:07:20.000+01:00","45","0.206","33","30","217"
"2023-02-17T09:07:30.000+01:00","81","0.375","77","27","217"
"2023-02-17T09:07:40.000+01:00","86","0.395","75","42","217"
"2023-02-17T09:07:50.000+01:00","39","0.179","39","0","217"
"2023-02-17T09:08:00.000+01:00","45","0.207","40","21","217"
"2023-02-17T09:08:10.000+01:00","38","0.175","30","24","218"
"2023-02-17T09:08:20.000+01:00","33","0.15","32","0","217"
"2023-02-17T09:08:30.000+01:00","35","0.159","35","0","217"
"2023-02-17T09:08:40.000+01:00","32","0.145","32","0","218"
"2023-02-17T09:08:50.000+01:00","31","0.143","31","0","218"
"2023-02-17T09:09:00.000+01:00","32","0.148","32","0","218"
"2023-02-17T09:09:10.000+01:00","40","0.184","34","21","218"
"2023-02-17T09:09:20.000+01:00","32","0.148","27","18","217"
"2023-02-17T09:09:30.000+01:00","33","0.152","33","0","218"
"2023-02-17T09:09:40.000+01:00","35","0.162","27","23","218"
"2023-02-17T09:09:50.000+01:00","31","0.144","27","16","218"
"2023-02-17T09:10:00.000+01:00","35","0.161","26","24","218"
"2023-02-17T09:10:10.000+01:00","32","0.148","32","0","218"
"2023-02-17T09:10:20.000+01:00","34","0.154","34","0","218"
"2023-02-17T09:10:30.000+01:00","31","0.141","25","17","218"
"2023-02-17T09:10:40.000+01:00","31","0.143","27","15","218"
"2023-02-17T09:10:50.000+01:00","31","0.142","31","0","218"
"2023-02-17T09:11:00.000+01:00","33","0.149","33","0","219"
"2023-02-17T09:11:10.000+01:00","42","0.194","41","12","218"
"2023-02-17T09:11:20.000+01:00","43","0.198","36","24","218"
"2023-02-17T09:11:30.000+01:00","75","0.343","75","0","219"
"2023-02-17T09:11:40.000+01:00","49","0.223","49","0","218"
"2023-02-17T09:11:50.000+01:00","34","0.158","28","20","218"
"2023-02-17T09:12:00.000+01:00","36","0.164","36","0","219"
"2023-02-17T09:12:10.000+01:00","42","0.194","28","32","219"
"2023-02-17T09:12:20.000+01:00","44","0.203","30","33","219"
"2023-02-17T09:12:30.000+01:00","56","0.255","56","0","218"
"2023-02-17T09:12:40.000+01:00","38","0.173","38","0","218"
"2023-02-17T09:12:50.000+01:00","40","0.182","40","0","218"
"2023-02-17T09:13:00.000+01:00","41","0.186","41","0","219"
"2023-02-17T09:13:10.000+01:00","43","0.199","42","12","218"
"2023-02-17T09:13:20.000+01:00","56","0.256","56","0","218"
"2023-02-17T09:13:30.000+01:00","59","0.269","49","32","219"
"2023-02-17T09:13:40.000+01:00","44","0.199","44","0","219"
"2023-02-17T09:13:50.000+01:00","65","0.299","50","42","219"
"2023-02-17T09:14:00.000+01:00","53","0.242","52","12","218"
"2023-02-17T09:14:10.000+01:00","54","0.248","54","0","218"
"2023-02-17T09:14:20.000+01:00","40","0.185","30","27","218"
"2023-02-17T09:14:30.000+01:00","38","0.172","31","22","218"
"2023-02-17T09:14:40.000+01:00","44","0.2","44","0","218"
"2023-02-17T09:14:50.000+01:00","42","0.193","27","32","218"
"2023-02-17T09:15:00.000+01:00","32","0.146","32","0","218"
"2023-02-17T09:15:10.000+01:00","39","0.179","38","10","218"
"2023-02-17T09:15:20.000+01:00","34","0.154","26","21","218"
"2023-02-17T09:15:30.000+01:00","48","0.221","45","18","219"
"2023-02-17T09:15:40.000+01:00","44","0.202","44","0","218"
"2023-02-17T09:15:50.000+01:00","39","0.178","37","13","218"
"2023-02-17T09:16:00.000+01:00","44","0.202","44","0","218"
"2023-02-17T09:16:10.000+01:00","37","0.168","34","14","219"
"2023-02-17T09:16:20.000+01:00","45","0.208","39","23","219"
"2023-02-17T09:16:30.000+01:00","38","0.174","38","0","218"
