sep=,
"Time","W.mean"
1662419700000,16.529999999999998
1662420600000,16.560000000000002
1662421500000,16.58222222222223
1662422400000,16.612903225806456
1662423300000,16.661904761904772
1662424200000,16.641666666666673
1662425100000,16.64634146341464
1662426000000,16.60689655172414
1662426900000,16.55897435897436
1662427800000,16.625000000000007
1662428700000,16.644444444444446
1662429600000,16.58333333333334
1662430500000,16.563888888888886
1662431400000,16.513157894736842
1662432300000,16.4625
1662433200000,16.494285714285716
1662434100000,16.51904761904762
1662435000000,16.411764705882348
1662435900000,16.30487804878048
1662436800000,18.527499999999996
1662437700000,16.46363636363636
1662438600000,16.50243902439024
1662439500000,16.428571428571427
1662440400000,16.45
1662441300000,16.352631578947364
1662442200000,16.293023255813953
1662443100000,16.31428571428571
1662444000000,16.269230769230774
1662444900000,16.21282051282052
1662445800000,16.23953488372093
1662446700000,16.46511627906977
1662447600000,16.53255813953488
1662448500000,16.412820512820517
1662449400000,16.652777777777782
1662450300000,16.65625
1662451200000,16.41470588235294
1662452100000,16.49032258064516
1662453000000,16.468571428571426
1662453900000,16.367647058823525
1662454800000,16.511764705882353
1662455700000,16.6
1662456600000,16.636842105263167
1662457500000,16.835294117647063
1662458400000,16.752499999999998
1662459300000,16.76511627906976
1662460200000,16.836111111111105
1662461100000,16.802127659574463
1662462000000,16.766666666666666
1662462900000,16.707142857142863
1662463800000,16.667500000000004
1662464700000,16.6
1662465600000,16.717142857142857
1662466500000,16.80425531914893
1662467400000,16.84499999999999
1662468300000,16.807142857142857
1662469200000,16.58333333333333
1662470100000,16.613793103448277
1662471000000,75.87608695652175
1662471900000,237.11639344262312
1662472800000,232.8247933884298
1662473700000,229.4782945736434
1662474600000,232.83812949640293
1662475500000,238.0255319148935
1662476400000,224.92264150943393
1662477300000,210.86249999999995
1662478200000,207.22611940298512
1662479100000,203.61428571428573
1662480000000,208.11025641025643
1662480900000,111.24224137931033
1662481800000,95.64
1662482700000,97.2153153153153
1662483600000,300.38449612403093
1662484500000,297.6310344827586
1662485400000,298.473076923077
1662486300000,233.83777777777783
1662487200000,150.5260869565218
1662488100000,186.26181818181817
1662489000000,188.02619047619052
1662489900000,147.3974093264248
1662490800000,145.3837004405286
1662491700000,148.29999999999998
1662492600000,156.5473958333333
1662493500000,145.99768518518525
1662494400000,142.9086124401914
1662495300000,145.85121951219514
1662496200000,156.64696969696968
1662497100000,147.66517857142853
1662498000000,145.88926829268294
1662498900000,146.30410958904102
1662499800000,156.74438775510214
1662500700000,147.9131221719457
1662501600000,145.55999999999997
1662502500000,148.01272727272735
1662503400000,157.06315789473686
1662504300000,152.1177884615385
1662505200000,144.46043478260873
1662506100000,146.02341463414632
1662507000000,156.36162790697676
1662507900000,147.66804123711339
1662508800000,149.2504761904763
1662509700000,156.09234972677595
1662510600000,156.34179104477613
1662511500000,156.3113989637306
1662512400000,151.84941176470596
1662513300000,147.97022471910114
1662514200000,156.3951923076923
1662515100000,145.7145299145299
1662516000000,151.6418803418805
1662516900000,156.0906832298137
1662517800000,156.30833333333342
1662518700000,147.66135265700487
1662519600000,144.82969432314417
1662520500000,146.93480662983433
1662521400000,156.69617486338788
1662522300000,153.72994923857874
1662523200000,146.49339622641514
1662524100000,147.72060606060612
