"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-02-28T23:56:40.000+01:00","51","0.233","0.76","39","33","219"
"2023-02-28T23:56:50.000+01:00","51","0.231","0.76","39","33","219"
"2023-02-28T23:57:00.000+01:00","51","0.231","0.76","39","33","219"
"2023-02-28T23:57:10.000+01:00","51","0.232","0.75","38","34","219"
"2023-02-28T23:57:20.000+01:00","51","0.233","0.76","39","33","219"
"2023-02-28T23:57:30.000+01:00","51","0.232","0.82","42","29","219"
"2023-02-28T23:57:40.000+01:00","51","0.232","0.77","39","33","219"
"2023-02-28T23:57:50.000+01:00","51","0.231","0.76","38","33","219"
"2023-02-28T23:58:00.000+01:00","51","0.232","0.75","38","34","219"
"2023-02-28T23:58:10.000+01:00","51","0.233","0.76","39","33","219"
"2023-02-28T23:58:20.000+01:00","51","0.232","0.82","42","29","219"
"2023-02-28T23:58:30.000+01:00","51","0.232","0.76","39","33","219"
"2023-02-28T23:58:40.000+01:00","51","0.232","0.78","40","32","219"
"2023-02-28T23:58:50.000+01:00","50","0.23","0.78","39","32","219"
"2023-02-28T23:59:00.000+01:00","51","0.232","0.83","42","29","219"
"2023-02-28T23:59:10.000+01:00","51","0.233","0.79","40","31","219"
"2023-02-28T23:59:20.000+01:00","51","0.231","0.77","39","32","219"
"2023-02-28T23:59:30.000+01:00","51","0.231","0.76","39","33","219"
"2023-02-28T23:59:40.000+01:00","51","0.232","0.81","41","30","219"
"2023-02-28T23:59:50.000+01:00","51","0.232","0.77","39","32","219"
"2023-03-01T00:00:00.000+01:00","51","0.233","0.8","41","31","219"
"2023-03-01T00:00:10.000+01:00","51","0.234","0.75","39","34","219"
"2023-03-01T00:00:20.000+01:00","51","0.234","0.76","39","33","219"
"2023-03-01T00:00:30.000+01:00","51","0.232","0.79","40","31","219"
"2023-03-01T00:00:40.000+01:00","51","0.233","0.77","39","33","219"
"2023-03-01T00:00:50.000+01:00","51","0.232","0.75","38","34","219"
"2023-03-01T00:01:00.000+01:00","51","0.231","0.79","40","31","219"
"2023-03-01T00:01:10.000+01:00","51","0.232","0.76","39","33","219"
"2023-03-01T00:01:20.000+01:00","50","0.231","0.78","39","32","219"
"2023-03-01T00:01:30.000+01:00","51","0.232","0.76","38","33","219"
"2023-03-01T00:01:40.000+01:00","51","0.232","0.8","41","31","219"
"2023-03-01T00:01:50.000+01:00","51","0.233","0.82","42","29","219"
"2023-03-01T00:02:00.000+01:00","50","0.231","0.8","40","30","219"
"2023-03-01T00:02:10.000+01:00","51","0.233","0.76","39","33","219"
"2023-03-01T00:02:20.000+01:00","50","0.23","0.76","38","33","219"
"2023-03-01T00:02:30.000+01:00","50","0.231","0.78","39","32","219"
"2023-03-01T00:02:40.000+01:00","51","0.232","0.77","39","32","219"
"2023-03-01T00:02:50.000+01:00","50","0.231","0.83","42","28","219"
"2023-03-01T00:03:00.000+01:00","50","0.231","0.77","39","32","219"
"2023-03-01T00:03:10.000+01:00","51","0.232","0.81","41","30","219"
"2023-03-01T00:03:20.000+01:00","50","0.231","0.85","43","27","219"
"2023-03-01T00:03:30.000+01:00","51","0.231","0.76","39","33","219"
"2023-03-01T00:03:40.000+01:00","51","0.233","0.77","39","33","219"
"2023-03-01T00:03:50.000+01:00","50","0.23","0.78","40","31","219"
"2023-03-01T00:04:00.000+01:00","51","0.232","0.77","39","32","219"
"2023-03-01T00:04:10.000+01:00","51","0.233","0.75","38","34","219"
"2023-03-01T00:04:20.000+01:00","50","0.228","0.76","38","33","219"
"2023-03-01T00:04:30.000+01:00","50","0.23","0.78","39","32","219"
"2023-03-01T00:04:40.000+01:00","51","0.232","0.81","41","30","219"
"2023-03-01T00:04:50.000+01:00","53","0.242","0.83","44","30","219"
"2023-03-01T00:05:00.000+01:00","51","0.233","0.77","39","33","219"
"2023-03-01T00:05:10.000+01:00","51","0.232","0.8","41","31","219"
"2023-03-01T00:05:20.000+01:00","51","0.231","0.81","41","29","219"
"2023-03-01T00:05:30.000+01:00","51","0.231","0.76","39","33","219"
"2023-03-01T00:05:40.000+01:00","50","0.229","0.81","41","29","219"
"2023-03-01T00:05:50.000+01:00","51","0.232","0.76","38","33","219"
"2023-03-01T00:06:00.000+01:00","51","0.231","0.81","41","30","219"
"2023-03-01T00:06:10.000+01:00","51","0.231","0.76","38","33","219"
"2023-03-01T00:06:20.000+01:00","51","0.232","0.76","39","33","219"
"2023-03-01T00:06:30.000+01:00","50","0.23","0.77","39","32","219"
"2023-03-01T00:06:40.000+01:00","50","0.23","0.82","42","29","219"
"2023-03-01T00:06:50.000+01:00","71","0.323","0.55","39","59","219"
"2023-03-01T00:07:00.000+01:00","51","0.232","0.77","39","32","219"
"2023-03-01T00:07:10.000+01:00","51","0.231","0.79","40","31","219"
"2023-03-01T00:07:20.000+01:00","51","0.233","0.76","39","33","219"
"2023-03-01T00:07:30.000+01:00","55","0.252","0.7","39","40","219"
"2023-03-01T00:07:40.000+01:00","52","0.238","0.74","39","35","219"
"2023-03-01T00:07:50.000+01:00","51","0.234","0.75","39","34","219"
"2023-03-01T00:08:00.000+01:00","51","0.232","0.78","40","32","219"
"2023-03-01T00:08:10.000+01:00","50","0.23","0.77","39","32","219"
"2023-03-01T00:08:20.000+01:00","51","0.231","0.76","38","33","220"
"2023-03-01T00:08:30.000+01:00","50","0.23","0.85","43","26","219"
"2023-03-01T00:08:40.000+01:00","50","0.23","0.78","39","32","219"
"2023-03-01T00:08:50.000+01:00","51","0.231","0.78","40","32","220"
"2023-03-01T00:09:00.000+01:00","50","0.229","0.78","39","31","220"
"2023-03-01T00:09:10.000+01:00","51","0.231","0.77","39","33","220"
"2023-03-01T00:09:20.000+01:00","51","0.232","0.75","38","34","220"
"2023-03-01T00:09:30.000+01:00","51","0.23","0.79","40","31","220"
"2023-03-01T00:09:40.000+01:00","51","0.231","0.77","39","33","220"
"2023-03-01T00:09:50.000+01:00","51","0.232","0.82","42","29","220"
