relay,temperature,overtemperature,energy,power
0,27.32,0,7,0
0,27.32,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.32,0,7,0
0,27.32,0,7,0
0,27.32,0,7,0
0,27.32,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.44,0,7,0
0,27.44,0,7,0
0,27.44,0,7,0
0,27.44,0,7,0
0,27.44,0,7,0
0,27.44,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,26.73,0,7,0
0,26.73,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.32,0,7,0
0,27.32,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.32,0,7,0
0,27.32,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,26.73,0,7,0
0,26.73,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.08,0,7,0
0,27.08,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,27.02,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,27.32,0,7,0
0,27.32,0,7,0
0,27.2,0,7,0
0,27.2,0,7,0
0,27.26,0,7,0
0,27.26,0,7,0
0,26.61,0,7,0
0,26.61,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.96,0,7,0
0,26.96,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.9,0,7,0
0,26.79,0,7,0
0,26.79,0,7,0
0,27.14,0,7,0
0,27.14,0,7,0
